Open,High,Low,eps,pe,InRate,InfRate,Adj Close,Volume,Close
1.225446,1.267857,1.22433,0.213539547,20.74574352,2.759886209,2.473022318,1.06062,202966400,1.242188
1.24442,1.244978,1.194894,0.213965517,20.74052946,3.44034736,1.87,1.03632,239836800,1.213728
1.192522,1.229353,1.119978,0.214391422,20.73531679,2.758640567,2.472500083,0.958655,414400000,1.122768
1.137835,1.225446,1.125,0.214817264,20.73010551,2.758017863,2.47223906,1.035367,404633600,1.212612
1.209821,1.245536,1.155692,0.215243041,20.72489561,2.757395237,2.471978098,1.016308,328563200,1.19029
1.184152,1.1875,1.042411,0.215668753,20.7196871,2.75677269,2.471717199,0.970567,660329600,1.136719
1.129185,1.186384,1.107143,0.216094402,20.71447998,2.75615022,2.471456363,0.993914,457665600,1.164063
1.166295,1.200893,1.100446,0.216519986,20.70927425,2.755527828,2.471195589,0.954367,259627200,1.117746
1.136161,1.177455,1.120536,0.216945506,20.70406991,2.754905515,2.470934877,1.004396,242435200,1.176339
1.175781,1.185268,1.113839,0.217370962,20.69886695,2.754283279,2.470674227,0.952937,212262400,1.116071
1.102679,1.114955,1.054129,0.217796353,20.69366538,2.753661122,2.47041364,0.910531,541822400,1.066406
1.0625,1.0625,0.936384,0.21822168,20.6884652,2.753039043,2.470153115,0.832867,941136000,0.975446
0.995536,1.071429,0.96875,0.218646943,20.68326641,2.752417041,2.469892653,0.867649,529827200,1.016183
0.976004,1.053571,0.973214,0.219072142,20.678069,2.751795118,2.469632253,0.852879,667620800,0.998884
0.977679,1.106585,0.973772,0.219497276,20.67287298,2.751173273,2.469371915,0.944361,409561600,1.106027
1.102679,1.132813,1.065848,0.219922346,20.66767835,2.750551506,2.46911164,0.967232,390924800,1.132813
1.126674,1.162946,1.069196,0.220347352,20.66248511,2.749929817,2.468851427,0.923396,520150400,1.081473
1.104353,1.113839,1.045201,0.220772294,20.65729325,2.749308207,2.468591277,0.906244,722120000,1.061384
1.026786,1.075893,1.024554,0.221197171,20.65210279,2.748686674,2.468331189,0.918632,443620800,1.075893
1.090402,1.149554,1.089844,0.221621984,20.64691371,2.748065219,2.468071163,0.97819,391641600,1.145647
1.13058,1.142857,1.071429,0.222046733,20.64172602,2.747443843,2.467811199,0.924825,366912000,1.083147
1.046317,1.133929,1.040876,0.222471418,20.63653971,2.746822544,2.467551298,0.966278,326603200,1.131696
1.135045,1.138393,1.083147,0.222896038,20.6313548,2.746201324,2.46729146,0.94579,249580800,1.107701
1.114955,1.117188,1.08817,0.223320594,20.62617127,2.745580181,2.467031683,0.947696,226195200,1.109933
1.100446,1.127232,1.049107,0.223745086,20.62098913,2.744959117,2.466771969,0.89862,236432000,1.052455
1.061942,1.082589,0.996652,0.224169514,20.61580837,2.744338131,2.466512318,0.877179,489798400,1.027344
1.027902,1.029018,0.987165,0.224593877,20.61062901,2.743717223,2.466252729,0.843826,399515200,0.988281
0.989397,1.024554,0.98856,0.225018176,20.60545103,2.743096393,2.465993202,0.862409,284076800,1.010045
1.000837,1.015067,0.982143,0.225442411,20.60027444,2.742475641,2.465733737,0.839538,184900800,0.983259
0.984933,0.993304,0.936384,0.225866581,20.59509924,2.741854967,2.465474335,0.803803,327140800,0.941406
0.929129,0.9375,0.881696,0.226290687,20.58992543,2.741234371,2.465214996,0.757109,535091200,0.886719
0.905134,0.930804,0.883929,0.226714729,20.584753,2.740613854,2.464955718,0.783791,499744000,0.917969
0.946429,0.986607,0.935407,0.227138707,20.57958196,3.20296665,1.78,0.82048,306913600,0.960938
0.964844,0.964844,0.893973,0.227562621,20.57441231,2.739373052,2.464437351,0.769974,678932800,0.901786
0.933175,0.973772,0.917411,0.22798647,20.56924405,2.738752769,2.46417826,0.805708,440451200,0.943638
0.925223,0.925781,0.896205,0.228410255,20.56407717,2.738132564,2.463919233,0.772832,398092800,0.905134
0.919643,0.936942,0.898438,0.228833975,20.55891169,2.737512436,2.463660267,0.768068,373777600,0.899554
0.886161,0.886161,0.833705,0.229257632,20.55374759,2.736892387,2.463401364,0.716609,740667200,0.839286
0.837054,0.837054,0.767857,0.229681224,20.54858488,2.736272416,2.463142523,0.685638,755507200,0.803013
0.808036,0.833705,0.764509,0.230104752,20.54342355,2.735652523,2.462883745,0.654191,517585600,0.766183
0.769531,0.801339,0.741071,0.230528216,20.53826362,2.735032708,2.462625029,0.668485,678462400,0.782924
0.790179,0.827288,0.767857,0.230951615,20.53310507,2.734412971,2.462366375,0.665269,406750400,0.779157
0.785714,0.802455,0.761161,0.23137495,20.52794791,2.733793312,2.462107784,0.65848,181148800,0.771205
0.782366,0.78683,0.729911,0.231798221,20.52279213,2.733173731,2.461849255,0.667533,713059200,0.781808
0.77567,0.814732,0.748326,0.232221428,20.51763775,2.732554229,2.461590788,0.640374,433507200,0.75
0.729911,0.799665,0.717634,0.23264457,20.51248475,2.731934804,2.461332384,0.679444,903840000,0.795759
0.837054,0.890625,0.794643,0.233067648,20.50733314,2.731315457,2.461074042,0.70565,792848000,0.826451
0.833147,0.850446,0.800781,0.233490662,20.50218292,2.730696189,2.460815763,0.696121,323668800,0.81529
0.82115,0.863839,0.806362,0.233913611,20.49703408,2.730076999,2.460557546,0.708032,525481600,0.829241
0.835938,0.866071,0.81808,0.234336497,20.49188664,2.729457886,2.460299391,0.736144,337019200,0.862165
0.871652,0.879464,0.831473,0.234759318,20.48674058,2.728838852,2.460041299,0.722803,238526400,0.84654
0.863839,0.874442,0.842634,0.235182075,20.48159591,2.728219896,2.459783269,0.72995,252358400,0.854911
0.860491,0.861049,0.811384,0.235604767,20.47645262,2.727601018,2.459525301,0.695168,290337600,0.814174
0.814174,0.845424,0.787388,0.236027395,20.47131073,2.726982218,2.459267396,0.720421,351456000,0.84375
0.845424,0.859375,0.804688,0.236449959,20.46617022,2.726363496,2.459009553,0.689451,277446400,0.807478
0.814732,0.833705,0.794643,0.236872459,20.4610311,2.725744852,2.458751773,0.704221,248572800,0.824777
0.834821,0.837054,0.795201,0.237294895,20.45589337,2.725126287,2.458494055,0.695168,303564800,0.814174
0.808594,0.873884,0.801897,0.237717266,20.45075702,2.724507799,2.458236399,0.73662,394004800,0.862723
0.879464,0.928013,0.878348,0.238139573,20.44562207,2.723889389,2.457978806,0.771879,501390400,0.904018
0.901786,1.016741,0.898438,0.238561816,20.4404885,2.723271058,2.457721275,0.848115,490000000,0.993304
0.995536,1.029018,0.956473,0.238983994,20.43535632,2.722652804,2.457463806,0.819526,467712000,0.959821
0.960379,0.975446,0.907366,0.239406108,20.43022552,2.722034629,2.4572064,0.788079,204965600,0.922991
0.9375,0.977679,0.930804,0.239828158,20.42509612,3.3605311,1.66,0.825244,185354400,0.966518
0.960379,0.991071,0.921875,0.240250144,20.4199681,2.720798513,2.456691774,0.789032,203470400,0.924107
0.952009,0.988839,0.919643,0.240672065,20.41484147,2.720180572,2.456434555,0.830008,286428800,0.972098
0.947545,0.96317,0.91183,0.241093922,20.40971623,2.719562709,2.456177398,0.781409,203660800,0.915179
0.94308,0.981027,0.922991,0.241515715,20.40459237,2.718944924,2.455920304,0.798562,323097600,0.935268
0.930804,0.969866,0.930804,0.241937444,20.39946991,2.718327217,2.455663272,0.812856,70828800,0.952009
0.950893,0.985491,0.90625,0.242359108,20.39434883,2.717709588,2.455406302,0.787126,265216000,0.921875
0.9375,0.945313,0.886161,0.242780708,20.38922914,2.717092037,2.455149395,0.789985,309545600,0.925223
0.939174,0.978795,0.930804,0.243202244,20.38411083,2.716474565,2.45489255,0.830008,263603200,0.972098
0.96596,1.040179,0.959821,0.243623716,20.37899392,2.71585717,2.454635767,0.870985,397796000,1.020089
1.017857,1.058036,0.989955,0.244045123,20.37387839,2.715239854,2.454379047,0.868126,357896000,1.016741
1.037946,1.052455,1.006696,0.244466466,20.36876425,2.714622615,2.454122389,0.897667,225433600,1.051339
1.044643,1.082589,0.977679,0.244887745,20.3636515,2.714005455,2.453865794,0.861456,445659200,1.008929
1.020089,1.053571,1.015625,0.24530896,20.35854013,2.713388373,2.453609261,0.879561,190276800,1.030134
1.040179,1.050223,1.020089,0.24573011,20.35343015,2.712771369,2.45335279,0.889091,260002400,1.041295
1.044643,1.051339,1.015625,0.246151196,20.34832157,2.712154442,2.453096382,0.87289,318404800,1.022321
0.985491,1.014509,0.924107,0.246572218,20.34321436,2.711537594,2.452840036,0.803326,457872800,0.940848
0.982143,1.018973,0.966518,0.246993175,20.33810855,2.710920825,2.452583752,0.840491,465572800,0.984375
0.970703,0.993304,0.945313,0.247414068,20.33300412,2.710304133,2.452327531,0.816667,196235200,0.956473
0.938616,0.944196,0.848214,0.247834897,20.32790109,2.709687519,2.452071372,0.742338,412171200,0.86942
0.898438,0.904018,0.876116,0.248255662,20.32279944,2.709070983,2.451815276,0.763302,211607200,0.893973
0.890067,0.915179,0.879464,0.248676363,20.31769917,2.708454526,2.451559241,0.763302,210470400,0.893973
0.892857,0.950893,0.890625,0.249096999,20.3126003,2.707838146,2.45130327,0.792844,294985600,0.928571
0.933594,0.9375,0.837054,0.249517571,20.30750281,2.707221845,2.45104736,0.73662,237893600,0.862723
0.87779,0.921875,0.870536,0.249938078,20.30240671,2.706605621,2.450791513,0.774738,155299200,0.907366
0.898438,0.913504,0.879464,0.250358522,20.297312,2.705989476,2.450535729,0.751867,137284000,0.88058
0.875,0.891741,0.842634,0.250778901,20.29221868,2.705373409,2.450280006,0.720421,162355200,0.84375
0.813616,0.858259,0.790179,0.251199216,20.28712674,2.70475742,2.450024346,0.731856,339897600,0.857143
0.883371,0.915179,0.827009,0.251619467,20.28203619,2.704141509,2.449768749,0.722326,263121600,0.845982
0.854911,0.876116,0.842634,0.252039653,20.27694703,2.703525676,2.449513214,0.730903,187348000,0.856027
0.856027,0.857143,0.827009,0.252459775,20.27185926,2.702909921,2.449257741,0.712797,176674400,0.834821
0.859375,0.864955,0.84375,0.252879833,20.26677287,3.1278929,1.61,0.724232,379640800,0.848214
0.857143,0.864955,0.845982,0.253299827,20.26168788,2.701678645,2.448746982,0.725185,251714400,0.84933
0.836496,0.857143,0.813616,0.253719756,20.25660427,2.701063125,2.448491697,0.727092,238056000,0.851563
0.849888,0.851563,0.827009,0.254139621,20.25152204,2.700447682,2.448236473,0.717562,156660000,0.840402
0.84375,0.856027,0.830357,0.254559422,20.24644121,2.699832318,2.447981312,0.711844,114200800,0.833705
0.837054,0.875,0.835938,0.254979158,20.24136176,2.699217031,2.447726214,0.739479,143673600,0.866071
0.863839,0.936384,0.862723,0.255398831,20.23628371,2.698601823,2.447471177,0.784268,270900000,0.918527
0.917411,0.925223,0.890625,0.255818439,20.23120703,2.697986693,2.447216204,0.76235,190176000,0.892857
0.897321,0.920759,0.886161,0.256237983,20.22613175,2.69737164,2.446961292,0.769974,134467200,0.901786
0.904018,0.94308,0.899554,0.256657462,20.22105786,2.696756666,2.446706443,0.788079,276802400,0.922991
0.919085,0.977679,0.91183,0.257076877,20.21598535,2.69614177,2.446451656,0.828102,236863200,0.969866
0.976283,1.011161,0.953125,0.257496228,20.21091423,2.695526952,2.446196932,0.855499,310766400,1.001953
1.008929,1.026786,1.006696,0.257915515,20.2058445,2.694912213,2.44594227,0.86622,334460000,1.014509
1.022321,1.053571,1.018973,0.258334738,20.20077615,2.694297551,2.44568767,0.885279,359004800,1.03683
1.033482,1.061384,1.030134,0.258753896,20.1957092,2.693682967,2.445433133,0.902432,267030400,1.05692
1.053571,1.071429,1.04827,0.25917299,20.19064363,2.693068461,2.445178658,0.907196,285392800,1.0625
1.053013,1.098214,1.052455,0.25959202,20.18557945,2.692454034,2.444924246,0.929114,419596800,1.08817
1.094866,1.136161,1.091518,0.260010985,20.18051665,2.691839684,2.444669895,0.967232,256872000,1.132813
1.118862,1.145089,1.111607,0.260429886,20.17545525,2.691225413,2.444415608,0.951984,298642400,1.114955
1.095982,1.113839,1.03125,0.260848723,20.17039523,2.69061122,2.444161382,0.890997,355404000,1.043527
1.055804,1.117188,1.040179,0.261267496,20.1653366,2.689997105,2.443907219,0.945314,217464800,1.107143
1.100446,1.100446,1.044643,0.261686204,20.16027936,2.689383067,2.443653118,0.897667,195518400,1.051339
1.047991,1.078125,1.037946,0.262104848,20.1552235,2.688769108,2.44339908,0.890997,187381600,1.043527
1.023996,1.072545,1.017857,0.262523428,20.15016904,2.688155227,2.443145104,0.880514,187997600,1.03125
1.013393,1.0625,1.013393,0.262941944,20.14511596,2.687541424,2.442891191,0.884326,305984000,1.035714
1.045759,1.064732,1.014509,0.263360395,20.14006427,2.6869277,2.442637339,0.866935,426552000,1.015346
1.03125,1.039063,0.96875,0.263778782,20.13501396,2.686314053,2.442383551,0.842158,394514400,0.986328
0.986607,1.084821,0.983259,0.264197105,20.12996505,2.685700484,2.442129824,0.924825,424536000,1.083147
1.066964,1.080357,1.045759,0.264615364,20.12491752,2.685086994,2.44187616,0.913867,271510400,1.070313
1.060826,1.097098,1.045759,0.265033558,20.11987138,2.684473581,2.441622558,0.930782,227388000,1.090123
1.044643,1.064732,0.986607,0.265451688,20.11482663,3.06235485,1.87,0.864314,510490400,1.012277
0.898438,0.936384,0.892857,0.265869754,20.10978326,2.68324699,2.441115542,0.795703,726700800,0.93192
0.941964,0.991071,0.929688,0.266287756,20.10474129,2.682633812,2.440862127,0.815714,435551200,0.955357
0.952009,0.977679,0.917411,0.266705693,20.0997007,2.682020712,2.440608775,0.784268,290936800,0.918527
0.924107,0.941964,0.861607,0.267123566,20.0946615,2.68140769,2.440355485,0.74615,402259200,0.873884
0.88058,0.960938,0.859375,0.267541375,20.08962368,2.680794746,2.440102258,0.815714,979585600,0.955357
0.503348,0.517857,0.453125,0.267959119,20.08458726,2.68018188,2.439849092,0.39261,7421640800,0.459821
0.476563,0.477679,0.419643,0.2683768,20.07955222,2.679569092,2.43959599,0.36974,2424788800,0.433036
0.445313,0.446429,0.396205,0.268794416,20.07451857,2.678956382,2.439342949,0.340199,2038120000,0.398438
0.399554,0.424107,0.390625,0.269211967,20.06948631,2.67834375,2.439089971,0.36021,1466024000,0.421875
0.419643,0.4375,0.392857,0.269629455,20.06445543,2.677731197,2.438837056,0.336387,873006400,0.393973
0.405134,0.409598,0.375,0.270046878,20.05942594,2.677118721,2.438584202,0.338293,612656800,0.396205
0.404018,0.408482,0.377232,0.270464237,20.05439785,2.676506324,2.438331411,0.331622,597564800,0.388393
0.386161,0.40067,0.366071,0.270881532,20.04937113,2.675894004,2.438078683,0.318281,691101600,0.372768
0.359375,0.375,0.341518,0.271298762,20.04434581,2.675281763,2.437826017,0.299222,1198422400,0.350446
0.362723,0.371652,0.348214,0.271715928,20.03932187,2.6746696,2.437573413,0.30494,1191064000,0.357143
0.361607,0.395089,0.357143,0.27213303,20.03429933,2.674057514,2.437320871,0.336387,1247752800,0.393973
0.398438,0.415179,0.381696,0.272550068,20.02927817,2.673445507,2.437068392,0.327811,820176000,0.383929
0.387277,0.391741,0.351563,0.272967041,20.02425839,2.672833578,2.436815976,0.306846,601720000,0.359375
0.347098,0.376116,0.334821,0.27338395,20.01924001,2.672221727,2.436563621,0.306846,834265600,0.359375
0.342076,0.353795,0.327009,0.273800795,20.01422301,2.671609955,2.436311329,0.28874,1506724800,0.33817
0.340402,0.363839,0.33817,0.274217576,20.0092074,2.67099826,2.4360591,0.297316,791263200,0.348214
0.361886,0.367188,0.347098,0.274634292,20.00419318,2.670386643,2.435806932,0.310657,551292000,0.363839
0.36942,0.372768,0.335938,0.275050944,19.99918035,2.669775104,2.435554828,0.287787,804451200,0.337054
0.340402,0.342634,0.329241,0.275467532,19.9941689,2.669163644,2.435302785,0.282069,663969600,0.330357
0.335938,0.337054,0.3125,0.275884056,19.98915884,2.668552261,2.435050805,0.282069,721851200,0.330357
0.337054,0.342634,0.319196,0.276300515,19.98415017,2.667940957,2.434798887,0.283022,744503200,0.331473
0.341518,0.356027,0.334821,0.27671691,19.97914289,2.667329731,2.434547032,0.294458,639189600,0.344866
0.352679,0.361607,0.34375,0.277133241,19.97413699,2.666718583,2.434295239,0.298269,885880800,0.34933
0.347098,0.372768,0.347098,0.277549507,19.96913249,2.666107512,2.434043508,0.312563,575366400,0.366071
0.377232,0.40067,0.376116,0.27796571,19.96412937,2.66549652,2.43379184,0.340199,590693600,0.398438
0.410714,0.410714,0.391741,0.278381848,19.95912763,3.04561328,2.13,0.339245,515821600,0.397321
0.40067,0.404018,0.372768,0.278797922,19.95412729,2.66427477,2.43328869,0.326858,393478400,0.382813
0.383929,0.389509,0.371652,0.279213931,19.94912833,2.663664013,2.433037209,0.324951,301963200,0.38058
0.381696,0.382813,0.353795,0.279629876,19.94413077,2.663053333,2.43278579,0.305893,422088800,0.358259
0.354911,0.366071,0.340402,0.280045757,19.93913459,2.662442731,2.432534434,0.307799,476834400,0.360491
0.345703,0.354911,0.340402,0.280461574,19.93413979,2.661832208,2.43228314,0.290646,422251200,0.340402
0.334821,0.357143,0.325893,0.280877326,19.92914639,2.661221762,2.432031908,0.29541,431816000,0.345982
0.356027,0.366071,0.34933,0.281293015,19.92415437,2.660611395,2.431780739,0.308752,409001600,0.361607
0.357701,0.360491,0.34375,0.281708639,19.91916374,2.660001105,2.431529632,0.303034,282357600,0.354911
0.348214,0.353795,0.337054,0.282124198,19.9141745,2.659390894,2.431278587,0.289693,239372000,0.339286
0.342634,0.34375,0.325893,0.282539694,19.90918664,2.658780761,2.431027605,0.282069,446180000,0.330357
0.332031,0.348214,0.325893,0.282955125,19.90420018,2.658170706,2.430776685,0.28874,408066400,0.33817
0.342634,0.348214,0.334821,0.283370492,19.8992151,2.657560729,2.430525828,0.286835,301952000,0.335938
0.335938,0.341518,0.328125,0.283785794,19.89423141,2.65695083,2.430275033,0.282069,280532000,0.330357
0.336775,0.348214,0.335938,0.284201033,19.8892491,2.656341009,2.4300243,0.294458,160932800,0.344866
0.354911,0.356027,0.330357,0.284616207,19.88426819,2.655731266,2.42977363,0.284928,258792800,0.333705
0.333705,0.339286,0.320313,0.285031317,19.87928866,2.655121601,2.429523022,0.274923,269124800,0.321987
0.323103,0.327009,0.308036,0.285446362,19.87431052,2.654512015,2.429272476,0.267775,492150400,0.313616
