Date,Open,High,Low,eps,p/e,Interest_Rate,Inflation_rate,Close,Adj Close,Volume
1/3/2000,0.936384,1.004464,0.907924,11.32400932,18.14930539,3.41105112,1.76,0.999442,0.853355,535796800
1/4/2000,0.966518,0.987723,0.90346,9.778793419,17.44547104,2.796145687,2.48827564,0.915179,0.781409,512377600
1/5/2000,0.926339,0.987165,0.919643,9.422680412,17.32794583,2.795518298,2.488010875,0.928571,0.792844,778321600
1/6/2000,0.947545,0.955357,0.848214,7.335149864,22.87487056,2.794890988,2.487746171,0.848214,0.724232,767972800
1/7/2000,0.861607,0.901786,0.852679,26.00877193,2.198083656,2.794263755,2.48748153,0.888393,0.758538,460734400
1/10/2000,0.910714,0.912946,0.845982,38.96491228,1.032386186,2.793636601,2.487216951,0.872768,0.745197,505064000
1/11/2000,0.856585,0.887277,0.808036,411.1111111,0.11120443,2.793009524,2.486952435,0.828125,0.70708,441548800
1/12/2000,0.848214,0.852679,0.772321,383.2222222,0.14012863,2.792382526,2.486687981,0.77846,0.664674,976068800
1/13/2000,0.84361,0.881696,0.825893,1.946938776,28.17966297,2.791755606,2.486423589,0.863839,0.737573,1032684800
1/14/2000,0.892857,0.912946,0.887277,7.946308725,8.650174076,2.791128764,2.48615926,0.896763,0.765685,390376000
1/18/2000,0.901786,0.946429,0.896763,13.60516605,6.167819986,2.790502,2.485894993,0.928013,0.792367,459177600
1/19/2000,0.94308,0.970982,0.922991,12.84285714,8.366080296,2.789875314,2.485630789,0.951451,0.812379,597643200
1/20/2000,1.03125,1.084821,1.013393,18.45678,9.36454,2.789248706,2.485366646,1.013393,0.865268,1831132800
1/21/2000,1.020089,1.020089,0.983817,37.71291866,2.100964754,2.788622176,2.485102567,0.993862,0.848591,495924800
1/24/2000,0.968192,1.006696,0.938616,577,0.175382432,2.787995725,2.484838549,0.948661,0.809997,440876800
1/25/2000,0.9375,1.010045,0.914063,158.109589,0.847572878,2.787369351,2.484574594,1.002232,0.855737,497145600
1/26/2000,0.982143,1.019531,0.979911,7.707159544,36.21437752,2.786743055,2.484310702,0.983817,0.840014,367158400
1/27/2000,0.97154,1.008929,0.955357,29.26403796,9.491513445,2.786116838,2.484046871,0.982143,0.838585,340144000
1/28/2000,0.96596,0.989955,0.898438,12.68726955,11.44139037,2.785490698,2.483783103,0.907366,0.774738,423348800
1/31/2000,0.901786,0.927455,0.84375,19.28058477,16.53113818,2.784864637,2.483519398,0.926339,0.790938,701680000
2/1/2000,0.928571,0.9375,0.892857,3.813039391,42.07494585,2.784238654,2.483255754,0.895089,0.764256,318035200
2/2/2000,0.899554,0.91183,0.866071,5.008008014,37.7397177,2.783612749,2.482992174,0.882254,0.753297,464195200
2/3/2000,0.895647,0.930804,0.895089,6.027581658,39.0646947,2.782986922,2.482728655,0.922433,0.787603,475193600
2/4/2000,0.928013,0.982143,0.925223,7.999015495,41.84215103,2.782361173,2.482465199,0.964286,0.823338,425320000
2/7/2000,0.964286,1.020089,0.945871,1.605882353,39.07618191,2.781735502,2.482201805,1.018415,0.869555,441067200
2/8/2000,1.017857,1.03683,0.993304,17.6,2.595219829,2.781109909,2.481938474,1.02567,0.87575,408643200
2/9/2000,1.018973,1.045759,1.003906,15.18181818,3.869583335,2.780484394,2.481675205,1.00558,0.858596,299364800
2/10/2000,1.007813,1.016741,0.982143,12.34269663,7.486418754,2.779858957,2.481411998,1.013393,0.865268,302982400
2/11/2000,1.014509,1.018973,0.966518,2.851060132,12.3911893,2.779233599,2.481148854,0.970982,0.829055,212251200
2/14/2000,0.976004,1.034598,0.969866,3.235372313,11.49253,2.778608318,2.480885772,1.03404,0.882896,367539200
2/15/2000,1.029018,1.070871,1.02846,2.464960453,17.66429866,2.777983116,2.480622753,1.0625,0.907196,485744000
2/16/2000,1.051339,1.054688,1.001116,3.16744737,15.45685616,3.51334339,1.91,1.018973,0.870032,378246400
2/17/2000,1.02846,1.03125,1.010045,11.1234,24.65789,2.776732945,2.480096901,1.02567,0.87575,289497600
2/18/2000,1.023438,1.030134,0.989955,10.92962963,28.32026421,2.776107977,2.479834068,0.993304,0.848115,233441600
2/22/2000,0.983259,1.044085,0.952567,22.5751073,21.13079652,2.775483087,2.479571298,1.016183,0.867649,422296000
2/23/2000,1.011021,1.0625,0.991071,25.2460733,24.42082862,2.774858275,2.479308591,1.037946,0.886231,473099200
2/24/2000,1.047433,1.063616,0.997768,18.10662824,6.982234721,2.774233541,2.479045945,1.028599,0.878251,376432000
2/25/2000,1.025112,1.044643,0.983259,45.856,3.471549541,2.773608885,2.478783363,0.985491,0.841444,249144000
2/28/2000,0.983259,1.026786,0.967634,33.8340192,4.305530478,2.772984307,2.478520842,1.011161,0.863362,328328000
2/29/2000,1.013951,1.046875,1.005022,37.4963925,5.297042779,2.772359807,2.478258384,1.023438,0.873844,368961600
3/1/2000,1.058594,1.179129,1.058036,145.4143731,0.709290997,2.771735386,2.477995988,1.163504,0.993437,1077003200
3/2/2000,1.133929,1.142299,1.077567,127.1286743,1.206196869,2.771111042,2.477733655,1.089286,0.930067,311259200
3/3/2000,1.114955,1.14495,1.071429,152.155,1.019982382,2.770486777,2.477471383,1.142857,0.975808,323366400
3/6/2000,1.125,1.152902,1.116071,120.9570658,1.280762694,2.769862589,2.477209175,1.12221,0.958179,210560000
3/7/2000,1.128906,1.137835,1.081473,-1.741376404,-5.442328991,2.76923848,2.476947028,1.097098,0.936737,273011200
3/8/2000,1.097098,1.106585,1.058594,1.804371933,7.268255609,2.768614449,2.476684944,1.089286,0.930067,271230400
3/9/2000,1.079241,1.116071,1.055804,0.454467744,41.02315689,2.767990495,2.476422923,1.091518,0.931973,276718400
3/10/2000,1.086496,1.142299,1.080357,0.068995103,330.0749861,2.76736662,2.476160964,1.122768,0.958655,248606400
3/13/2000,1.090402,1.129464,1.066964,135.4117647,0.293408599,2.766742823,2.475899067,1.083147,0.924825,303956800
3/14/2000,1.08231,1.109375,1.017857,59.59183673,0.706544593,2.766119104,2.475637232,1.020089,0.870985,428579200
3/15/2000,1.032366,1.073661,1.018973,56.96551724,0.87623199,2.765495463,2.47537546,1.037946,0.886231,443609600
3/16/2000,1.047433,1.089286,1.022321,144.7878788,0.297860663,2.764871901,2.47511375,1.085379,0.926731,378100800
3/17/2000,1.072545,1.116071,1.06808,5.745454545,11.00443466,2.764248416,2.474852103,1.116071,0.952937,305043200
3/20/2000,1.102679,1.127232,1.092634,17.85,4.178077847,2.763625009,2.474590518,1.098214,0.93769,204489600
3/21/2000,1.094308,1.220982,1.085938,13.31481481,7.848581624,2.763001681,2.474328995,1.204799,1.028696,524328000
3/22/2000,1.185547,1.289063,1.174665,21.60714286,7.259331317,2.76237843,2.474067535,1.287388,1.099213,567996800
3/23/2000,1.267857,1.342634,1.25,-7.327489789,-7.215864852,2.761755258,2.473806137,1.261719,1.077296,562564800
3/24/2000,1.271763,1.285156,1.209821,-0.007226321,-4975.416281,2.761132164,2.473544802,1.238281,1.057284,446913600
3/27/2000,1.228795,1.292411,1.222098,4.032287281,11.91075833,2.760509147,2.473283529,1.246094,1.063955,279182400
3/28/2000,1.225446,1.267857,1.22433,-7.158875626,-5.160202239,2.759886209,2.473022318,1.242188,1.06062,202966400
3/29/2000,1.24442,1.244978,1.194894,141.3018868,1.116516366,3.44034736,1.87,1.213728,1.03632,239836800
3/30/2000,1.192522,1.229353,1.119978,51.61290323,4.097590771,2.758640567,2.472500083,1.122768,0.958655,414400000
3/31/2000,1.137835,1.225446,1.125,27.70484581,10.47292554,2.758017863,2.47223906,1.212612,1.035367,404633600
4/3/2000,1.209821,1.245536,1.155692,27.54724409,9.251227612,2.757395237,2.471978098,1.19029,1.016308,328563200
4/4/2000,1.184152,1.1875,1.042411,3.726741949,17.59177278,2.75677269,2.471717199,1.136719,0.970567,660329600
4/5/2000,1.129185,1.186384,1.107143,5.224348648,11.69140996,2.75615022,2.471456363,1.164063,0.993914,457665600
4/6/2000,1.166295,1.200893,1.100446,7.635366087,11.31314416,2.755527828,2.471195589,1.117746,0.954367,259627200
4/7/2000,1.136161,1.177455,1.120536,10.00456178,10.49421256,2.754905515,2.470934877,1.176339,1.004396,242435200
4/10/2000,1.175781,1.185268,1.113839,7.660939582,9.338265327,2.754283279,2.470674227,1.116071,0.952937,212262400
4/11/2000,1.102679,1.114955,1.054129,3.487323539,16.97809951,2.753661122,2.47041364,1.066406,0.910531,541822400
4/12/2000,1.0625,1.0625,0.936384,6.136731811,10.97782216,2.753039043,2.470153115,0.975446,0.832867,941136000
4/13/2000,0.995536,1.071429,0.96875,-10.56571251,-4.92158006,2.752417041,2.469892653,1.016183,0.867649,529827200
4/14/2000,0.976004,1.053571,0.973214,1.356430991,91.39679828,2.751795118,2.469632253,0.998884,0.852879,667620800
4/17/2000,0.977679,1.106585,0.973772,144.0718737,0.511302376,2.751173273,2.469371915,1.106027,0.944361,409561600
4/18/2000,1.102679,1.132813,1.065848,146.7734655,0.485419305,2.750551506,2.46911164,1.132813,0.967232,390924800
4/19/2000,1.126674,1.162946,1.069196,45.61349842,3.208042968,2.749929817,2.468851427,1.081473,0.923396,520150400
4/20/2000,1.104353,1.113839,1.045201,0.107481319,992.5979577,2.749308207,2.468591277,1.061384,0.906244,722120000
4/24/2000,1.026786,1.075893,1.024554,0.156816339,979.9402295,2.748686674,2.468331189,1.075893,0.918632,443620800
4/25/2000,1.090402,1.149554,1.089844,0.633780401,274.648736,2.748065219,2.468071163,1.145647,0.97819,391641600
4/26/2000,1.13058,1.142857,1.071429,0.441696867,504.7805934,2.747443843,2.467811199,1.083147,0.924825,366912000
