Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,0.936384,1.004464,0.907924,0.999442,0.853355,535796800
2000-01-04,0.966518,0.987723,0.903460,0.915179,0.781409,512377600
2000-01-05,0.926339,0.987165,0.919643,0.928571,0.792844,778321600
2000-01-06,0.947545,0.955357,0.848214,0.848214,0.724232,767972800
2000-01-07,0.861607,0.901786,0.852679,0.888393,0.758538,460734400
2000-01-10,0.910714,0.912946,0.845982,0.872768,0.745197,505064000
2000-01-11,0.856585,0.887277,0.808036,0.828125,0.707080,441548800
2000-01-12,0.848214,0.852679,0.772321,0.778460,0.664674,976068800
2000-01-13,0.843610,0.881696,0.825893,0.863839,0.737573,1032684800
2000-01-14,0.892857,0.912946,0.887277,0.896763,0.765685,390376000
2000-01-18,0.901786,0.946429,0.896763,0.928013,0.792367,459177600
2000-01-19,0.943080,0.970982,0.922991,0.951451,0.812379,597643200
2000-01-20,1.031250,1.084821,1.013393,1.013393,0.865268,1831132800
2000-01-21,1.020089,1.020089,0.983817,0.993862,0.848591,495924800
2000-01-24,0.968192,1.006696,0.938616,0.948661,0.809997,440876800
2000-01-25,0.937500,1.010045,0.914063,1.002232,0.855737,497145600
2000-01-26,0.982143,1.019531,0.979911,0.983817,0.840014,367158400
2000-01-27,0.971540,1.008929,0.955357,0.982143,0.838585,340144000
2000-01-28,0.965960,0.989955,0.898438,0.907366,0.774738,423348800
2000-01-31,0.901786,0.927455,0.843750,0.926339,0.790938,701680000
2000-02-01,0.928571,0.937500,0.892857,0.895089,0.764256,318035200
2000-02-02,0.899554,0.911830,0.866071,0.882254,0.753297,464195200
2000-02-03,0.895647,0.930804,0.895089,0.922433,0.787603,475193600
2000-02-04,0.928013,0.982143,0.925223,0.964286,0.823338,425320000
2000-02-07,0.964286,1.020089,0.945871,1.018415,0.869555,441067200
2000-02-08,1.017857,1.036830,0.993304,1.025670,0.875750,408643200
2000-02-09,1.018973,1.045759,1.003906,1.005580,0.858596,299364800
2000-02-10,1.007813,1.016741,0.982143,1.013393,0.865268,302982400
2000-02-11,1.014509,1.018973,0.966518,0.970982,0.829055,212251200
2000-02-14,0.976004,1.034598,0.969866,1.034040,0.882896,367539200
2000-02-15,1.029018,1.070871,1.028460,1.062500,0.907196,485744000
2000-02-16,1.051339,1.054688,1.001116,1.018973,0.870032,378246400
2000-02-17,1.028460,1.031250,1.010045,1.025670,0.875750,289497600
2000-02-18,1.023438,1.030134,0.989955,0.993304,0.848115,233441600
2000-02-22,0.983259,1.044085,0.952567,1.016183,0.867649,422296000
2000-02-23,1.011021,1.062500,0.991071,1.037946,0.886231,473099200
2000-02-24,1.047433,1.063616,0.997768,1.028599,0.878251,376432000
2000-02-25,1.025112,1.044643,0.983259,0.985491,0.841444,249144000
2000-02-28,0.983259,1.026786,0.967634,1.011161,0.863362,328328000
2000-02-29,1.013951,1.046875,1.005022,1.023438,0.873844,368961600
2000-03-01,1.058594,1.179129,1.058036,1.163504,0.993437,1077003200
2000-03-02,1.133929,1.142299,1.077567,1.089286,0.930067,311259200
2000-03-03,1.114955,1.144950,1.071429,1.142857,0.975808,323366400
2000-03-06,1.125000,1.152902,1.116071,1.122210,0.958179,210560000
2000-03-07,1.128906,1.137835,1.081473,1.097098,0.936737,273011200
2000-03-08,1.097098,1.106585,1.058594,1.089286,0.930067,271230400
2000-03-09,1.079241,1.116071,1.055804,1.091518,0.931973,276718400
2000-03-10,1.086496,1.142299,1.080357,1.122768,0.958655,248606400
2000-03-13,1.090402,1.129464,1.066964,1.083147,0.924825,303956800
2000-03-14,1.082310,1.109375,1.017857,1.020089,0.870985,428579200
2000-03-15,1.032366,1.073661,1.018973,1.037946,0.886231,443609600
2000-03-16,1.047433,1.089286,1.022321,1.085379,0.926731,378100800
2000-03-17,1.072545,1.116071,1.068080,1.116071,0.952937,305043200
2000-03-20,1.102679,1.127232,1.092634,1.098214,0.937690,204489600
2000-03-21,1.094308,1.220982,1.085938,1.204799,1.028696,524328000
2000-03-22,1.185547,1.289063,1.174665,1.287388,1.099213,567996800
2000-03-23,1.267857,1.342634,1.250000,1.261719,1.077296,562564800
2000-03-24,1.271763,1.285156,1.209821,1.238281,1.057284,446913600
2000-03-27,1.228795,1.292411,1.222098,1.246094,1.063955,279182400
2000-03-28,1.225446,1.267857,1.224330,1.242188,1.060620,202966400
2000-03-29,1.244420,1.244978,1.194894,1.213728,1.036320,239836800
2000-03-30,1.192522,1.229353,1.119978,1.122768,0.958655,414400000
2000-03-31,1.137835,1.225446,1.125000,1.212612,1.035367,404633600
2000-04-03,1.209821,1.245536,1.155692,1.190290,1.016308,328563200
2000-04-04,1.184152,1.187500,1.042411,1.136719,0.970567,660329600
2000-04-05,1.129185,1.186384,1.107143,1.164063,0.993914,457665600
2000-04-06,1.166295,1.200893,1.100446,1.117746,0.954367,259627200
2000-04-07,1.136161,1.177455,1.120536,1.176339,1.004396,242435200
2000-04-10,1.175781,1.185268,1.113839,1.116071,0.952937,212262400
2000-04-11,1.102679,1.114955,1.054129,1.066406,0.910531,541822400
2000-04-12,1.062500,1.062500,0.936384,0.975446,0.832867,941136000
2000-04-13,0.995536,1.071429,0.968750,1.016183,0.867649,529827200
2000-04-14,0.976004,1.053571,0.973214,0.998884,0.852879,667620800
2000-04-17,0.977679,1.106585,0.973772,1.106027,0.944361,409561600
2000-04-18,1.102679,1.132813,1.065848,1.132813,0.967232,390924800
2000-04-19,1.126674,1.162946,1.069196,1.081473,0.923396,520150400
2000-04-20,1.104353,1.113839,1.045201,1.061384,0.906244,722120000
2000-04-24,1.026786,1.075893,1.024554,1.075893,0.918632,443620800
2000-04-25,1.090402,1.149554,1.089844,1.145647,0.978190,391641600
2000-04-26,1.130580,1.142857,1.071429,1.083147,0.924825,366912000
2000-04-27,1.046317,1.133929,1.040876,1.131696,0.966278,326603200
2000-04-28,1.135045,1.138393,1.083147,1.107701,0.945790,249580800
2000-05-01,1.114955,1.117188,1.088170,1.109933,0.947696,226195200
2000-05-02,1.100446,1.127232,1.049107,1.052455,0.898620,236432000
2000-05-03,1.061942,1.082589,0.996652,1.027344,0.877179,489798400
2000-05-04,1.027902,1.029018,0.987165,0.988281,0.843826,399515200
2000-05-05,0.989397,1.024554,0.988560,1.010045,0.862409,284076800
2000-05-08,1.000837,1.015067,0.982143,0.983259,0.839538,184900800
2000-05-09,0.984933,0.993304,0.936384,0.941406,0.803803,327140800
2000-05-10,0.929129,0.937500,0.881696,0.886719,0.757109,535091200
2000-05-11,0.905134,0.930804,0.883929,0.917969,0.783791,499744000
2000-05-12,0.946429,0.986607,0.935407,0.960938,0.820480,306913600
2000-05-15,0.964844,0.964844,0.893973,0.901786,0.769974,678932800
2000-05-16,0.933175,0.973772,0.917411,0.943638,0.805708,440451200
2000-05-17,0.925223,0.925781,0.896205,0.905134,0.772832,398092800
2000-05-18,0.919643,0.936942,0.898438,0.899554,0.768068,373777600
2000-05-19,0.886161,0.886161,0.833705,0.839286,0.716609,740667200
2000-05-22,0.837054,0.837054,0.767857,0.803013,0.685638,755507200
2000-05-23,0.808036,0.833705,0.764509,0.766183,0.654191,517585600
2000-05-24,0.769531,0.801339,0.741071,0.782924,0.668485,678462400
2000-05-25,0.790179,0.827288,0.767857,0.779157,0.665269,406750400
2000-05-26,0.785714,0.802455,0.761161,0.771205,0.658480,181148800
2000-05-30,0.782366,0.786830,0.729911,0.781808,0.667533,713059200
2000-05-31,0.775670,0.814732,0.748326,0.750000,0.640374,433507200
2000-06-01,0.729911,0.799665,0.717634,0.795759,0.679444,903840000
2000-06-02,0.837054,0.890625,0.794643,0.826451,0.705650,792848000
2000-06-05,0.833147,0.850446,0.800781,0.815290,0.696121,323668800
2000-06-06,0.821150,0.863839,0.806362,0.829241,0.708032,525481600
2000-06-07,0.835938,0.866071,0.818080,0.862165,0.736144,337019200
2000-06-08,0.871652,0.879464,0.831473,0.846540,0.722803,238526400
2000-06-09,0.863839,0.874442,0.842634,0.854911,0.729950,252358400
2000-06-12,0.860491,0.861049,0.811384,0.814174,0.695168,290337600
2000-06-13,0.814174,0.845424,0.787388,0.843750,0.720421,351456000
2000-06-14,0.845424,0.859375,0.804688,0.807478,0.689451,277446400
2000-06-15,0.814732,0.833705,0.794643,0.824777,0.704221,248572800
2000-06-16,0.834821,0.837054,0.795201,0.814174,0.695168,303564800
2000-06-19,0.808594,0.873884,0.801897,0.862723,0.736620,394004800
2000-06-20,0.879464,0.928013,0.878348,0.904018,0.771879,501390400
2000-06-21,0.901786,1.016741,0.898438,0.993304,0.848115,490000000
2000-06-22,0.995536,1.029018,0.956473,0.959821,0.819526,467712000
2000-06-23,0.960379,0.975446,0.907366,0.922991,0.788079,204965600
2000-06-26,0.937500,0.977679,0.930804,0.966518,0.825244,185354400
2000-06-27,0.960379,0.991071,0.921875,0.924107,0.789032,203470400
2000-06-28,0.952009,0.988839,0.919643,0.972098,0.830008,286428800
2000-06-29,0.947545,0.963170,0.911830,0.915179,0.781409,203660800
2000-06-30,0.943080,0.981027,0.922991,0.935268,0.798562,323097600
2000-07-03,0.930804,0.969866,0.930804,0.952009,0.812856,70828800
2000-07-05,0.950893,0.985491,0.906250,0.921875,0.787126,265216000
2000-07-06,0.937500,0.945313,0.886161,0.925223,0.789985,309545600
2000-07-07,0.939174,0.978795,0.930804,0.972098,0.830008,263603200
2000-07-10,0.965960,1.040179,0.959821,1.020089,0.870985,397796000
2000-07-11,1.017857,1.058036,0.989955,1.016741,0.868126,357896000
2000-07-12,1.037946,1.052455,1.006696,1.051339,0.897667,225433600
2000-07-13,1.044643,1.082589,0.977679,1.008929,0.861456,445659200
2000-07-14,1.020089,1.053571,1.015625,1.030134,0.879561,190276800
2000-07-17,1.040179,1.050223,1.020089,1.041295,0.889091,260002400
2000-07-18,1.044643,1.051339,1.015625,1.022321,0.872890,318404800
2000-07-19,0.985491,1.014509,0.924107,0.940848,0.803326,457872800
2000-07-20,0.982143,1.018973,0.966518,0.984375,0.840491,465572800
2000-07-21,0.970703,0.993304,0.945313,0.956473,0.816667,196235200
2000-07-24,0.938616,0.944196,0.848214,0.869420,0.742338,412171200
2000-07-25,0.898438,0.904018,0.876116,0.893973,0.763302,211607200
2000-07-26,0.890067,0.915179,0.879464,0.893973,0.763302,210470400
2000-07-27,0.892857,0.950893,0.890625,0.928571,0.792844,294985600
2000-07-28,0.933594,0.937500,0.837054,0.862723,0.736620,237893600
2000-07-31,0.877790,0.921875,0.870536,0.907366,0.774738,155299200
2000-08-01,0.898438,0.913504,0.879464,0.880580,0.751867,137284000
2000-08-02,0.875000,0.891741,0.842634,0.843750,0.720421,162355200
2000-08-03,0.813616,0.858259,0.790179,0.857143,0.731856,339897600
2000-08-04,0.883371,0.915179,0.827009,0.845982,0.722326,263121600
2000-08-07,0.854911,0.876116,0.842634,0.856027,0.730903,187348000
2000-08-08,0.856027,0.857143,0.827009,0.834821,0.712797,176674400
2000-08-09,0.859375,0.864955,0.843750,0.848214,0.724232,379640800
2000-08-10,0.857143,0.864955,0.845982,0.849330,0.725185,251714400
2000-08-11,0.836496,0.857143,0.813616,0.851563,0.727092,238056000
2000-08-14,0.849888,0.851563,0.827009,0.840402,0.717562,156660000
2000-08-15,0.843750,0.856027,0.830357,0.833705,0.711844,114200800
2000-08-16,0.837054,0.875000,0.835938,0.866071,0.739479,143673600
2000-08-17,0.863839,0.936384,0.862723,0.918527,0.784268,270900000
2000-08-18,0.917411,0.925223,0.890625,0.892857,0.762350,190176000
2000-08-21,0.897321,0.920759,0.886161,0.901786,0.769974,134467200
2000-08-22,0.904018,0.943080,0.899554,0.922991,0.788079,276802400
2000-08-23,0.919085,0.977679,0.911830,0.969866,0.828102,236863200
2000-08-24,0.976283,1.011161,0.953125,1.001953,0.855499,310766400
2000-08-25,1.008929,1.026786,1.006696,1.014509,0.866220,334460000
2000-08-28,1.022321,1.053571,1.018973,1.036830,0.885279,359004800
2000-08-29,1.033482,1.061384,1.030134,1.056920,0.902432,267030400
2000-08-30,1.053571,1.071429,1.048270,1.062500,0.907196,285392800
2000-08-31,1.053013,1.098214,1.052455,1.088170,0.929114,419596800
2000-09-01,1.094866,1.136161,1.091518,1.132813,0.967232,256872000
2000-09-05,1.118862,1.145089,1.111607,1.114955,0.951984,298642400
2000-09-06,1.095982,1.113839,1.031250,1.043527,0.890997,355404000
2000-09-07,1.055804,1.117188,1.040179,1.107143,0.945314,217464800
2000-09-08,1.100446,1.100446,1.044643,1.051339,0.897667,195518400
2000-09-11,1.047991,1.078125,1.037946,1.043527,0.890997,187381600
2000-09-12,1.023996,1.072545,1.017857,1.031250,0.880514,187997600
2000-09-13,1.013393,1.062500,1.013393,1.035714,0.884326,305984000
2000-09-14,1.045759,1.064732,1.014509,1.015346,0.866935,426552000
2000-09-15,1.031250,1.039063,0.968750,0.986328,0.842158,394514400
2000-09-18,0.986607,1.084821,0.983259,1.083147,0.924825,424536000
